Id,BookName,Author,Description,Price,DiscountPrice,Quantity,BookImage,AdminUserId,CreatedAt,UpdatedAt
1,Sherlock: Chronicles,Steve Tribe,"An in-depth behind-the-scenes look at BBC's Sherlock series.",800,450,5,http://books.google.com/books/sherlock-chronicles.jpg,616fdcc474dbc1000e41e655,2022-01-10T12:06:34.065Z,2022-02-24T14:17:33.515Z
2,The Pragmatic Programmer,Andy Hunt,"Classic book on software engineering and developer mindset.",1200,999,10,http://books.google.com/books/pragmatic.jpg,616fdcc474dbc1000e41e656,2022-01-15T09:45:12.000Z,2022-01-20T10:15:30.000Z
3,Clean Code,Robert C. Martin,"A handbook of agile software craftsmanship.",1500,1000,8,http://books.google.com/books/cleancode.jpg,616fdcc474dbc1000e41e657,2022-02-01T11:25:00.000Z,2022-02-28T09:10:00.000Z
4,Atomic Habits,James Clear,"A guide to building good habits and breaking bad ones.",500,350,15,http://books.google.com/books/atomichabits.jpg,616fdcc474dbc1000e41e658,2022-03-01T13:00:00.000Z,2022-03-05T08:00:00.000Z
5,Deep Work,Cal Newport,"Rules for focused success in a distracted world.",900,700,12,http://books.google.com/books/deepwork.jpg,616fdcc474dbc1000e41e659,2022-01-20T10:30:00.000Z,2022-02-10T16:45:00.000Z
6,The Lean Startup,Eric Ries,"How today's entrepreneurs use continuous innovation to create radically successful businesses.",1100,950,7,http://books.google.com/books/leanstartup.jpg,616fdcc474dbc1000e41e660,2022-03-10T12:00:00.000Z,2022-03-12T09:15:00.000Z
7,Zero to One,Peter Thiel,"Notes on startups, or how to build the future.",950,700,9,http://books.google.com/books/zerotoone.jpg,616fdcc474dbc1000e41e661,2022-04-01T15:45:00.000Z,2022-04-05T14:20:00.000Z
8,The Alchemist,Paulo Coelho,"A journey of self-discovery.",600,400,20,http://books.google.com/books/alchemist.jpg,616fdcc474dbc1000e41e662,2022-05-05T10:00:00.000Z,2022-05-08T11:30:00.000Z
9,Start with Why,Simon Sinek,"How great leaders inspire everyone to take action.",1000,850,6,http://books.google.com/books/startwithwhy.jpg,616fdcc474dbc1000e41e663,2022-06-12T09:30:00.000Z,2022-06-20T10:00:00.000Z
10,Rich Dad Poor Dad,Robert Kiyosaki,"What the rich teach their kids about money.",650,500,14,http://books.google.com/books/richdadpoordad.jpg,616fdcc474dbc1000e41e664,2022-07-07T14:00:00.000Z,2022-07-10T09:30:00.000Z
11,Rework,Jason Fried,"Change the way you work forever.",800,600,11,http://books.google.com/books/rework.jpg,616fdcc474dbc1000e41e665,2022-08-01T08:00:00.000Z,2022-08-03T16:45:00.000Z
12,Don't Make Me Think,Steve Krug,"A common sense approach to web usability.",700,500,10,http://books.google.com/books/dontmakemethink.jpg,616fdcc474dbc1000e41e666,2022-09-09T13:15:00.000Z,2022-09-12T11:10:00.000Z
13,The Design of Everyday Things,Don Norman,"A book about human-centered design.",900,750,5,http://books.google.com/books/designofthings.jpg,616fdcc474dbc1000e41e667,2022-10-01T10:30:00.000Z,2022-10-03T15:00:00.000Z
14,"Thinking, Fast and Slow",Daniel Kahneman,"Psychological insights on decision-making.",1200,950,8,http://books.google.com/books/thinkingfastslow.jpg,616fdcc474dbc1000e41e668,2022-11-11T11:11:11.000Z,2022-11-15T14:14:14.000Z
15,Hooked,Nir Eyal,"How to build habit-forming products.",950,800,10,http://books.google.com/books/hooked.jpg,616fdcc474dbc1000e41e669,2022-12-12T12:12:12.000Z,2022-12-15T15:15:15.000Z
16,Cracking the Coding Interview,Gayle Laakmann McDowell,"189 programming questions and solutions.",1400,1100,4,http://books.google.com/books/crackingcoding.jpg,616fdcc474dbc1000e41e670,2023-01-01T10:00:00.000Z,2023-01-05T11:00:00.000Z
17,The Phoenix Project,Gene Kim,"A novel about IT, DevOps, and helping your business win.",1300,999,6,http://books.google.com/books/phoenixproject.jpg,616fdcc474dbc1000e41e671,2023-02-14T13:00:00.000Z,2023-02-20T12:00:00.000Z
18,Mindset,Carol Dweck,"The new psychology of success.",950,750,7,http://books.google.com/books/mindset.jpg,616fdcc474dbc1000e41e672,2023-03-10T10:10:10.000Z,2023-03-12T12:12:12.000Z
19,The 4-Hour Workweek,Tim Ferriss,"Escape 9-5, live anywhere, and join the new rich.",1150,900,9,http://books.google.com/books/4hourworkweek.jpg,616fdcc474dbc1000e41e673,2023-04-01T08:08:08.000Z,2023-04-05T09:09:09.000Z
20,Ikigai,Héctor García,"The Japanese secret to a long and happy life.",600,450,18,http://books.google.com/books/ikigai.jpg,616fdcc474dbc1000e41e674,2023-05-05T05:05:05.000Z,2023-05-08T06:06:06.000Z
